customer_id,name,email,signup_date,city,state
CUST00001,Anika Rajagopalan,yakshit07@yahoo.com,30-03-2024,Patna,Odisha
CUST00002,Hansh Lal,borahvedika@chahal.com,11-02-2025,Ranchi,Himachal Pradesh
CUST00003,Reyansh Ramakrishnan,anahita00@gmail.com,19-04-2024,Aurangabad,Telangana
CUST00004,Ira Sharaf,hissac@gmail.com,13-06-2025,Bhubaneswar,Assam
CUST00005,Dharmajan Goyal,varughesekabir@das.org,05-02-2025,Rohtak,Himachal Pradesh
CUST00006,Lagan Dey,jbhavsar@buch-cheema.com,11-10-2024,Raichur,Sikkim
CUST00007,Ojas Raj,aainabobal@hotmail.com,18-08-2024,Malda,Arunachal Pradesh
CUST00008,Amira Bahri,mkala@lala.net,20-12-2023,Kota,Chhattisgarh
CUST00009,Ira Lall,sandalmohanlal@gmail.com,18-02-2024,Sambhal,Andhra Pradesh
CUST00010,Dharmajan Sodhi,hde@kakar-sant.com,18-03-2025,Suryapet,Sikkim
CUST00011,Tanya Kanda,krishkurian@gmail.com,30-08-2024,Shimla,Manipur
CUST00012,Neysa D’Alia,oorja05@yahoo.com,15-06-2023,Muzaffarnagar,Rajasthan
CUST00013,Reyansh Dalal,kataalisha@sridhar.com,27-08-2023,Sambhal,Karnataka
CUST00014,Mannat Seth,krish60@gmail.com,29-01-2024,Mumbai,Karnataka
CUST00015,Dharmajan Sanghvi,umangsoni@basak-seth.info,17-12-2023,Anantapuram,Goa
CUST00016,Nehmat Chaudhry,ishitasani@hotmail.com,22-10-2024,Nangloi Jat,Tripura
CUST00017,Eshani Zachariah,jhanvide@hotmail.com,14-12-2023,Fatehpur,Punjab
CUST00018,Lagan Kalita,gsrivastava@yahoo.com,28-01-2025,Gorakhpur,Odisha
CUST00019,Kavya Mann,jiyaganesh@walia-khatri.com,20-02-2024,Warangal,Tripura
CUST00020,Emir Gulati,wkashyap@mahal.com,08-06-2024,Yamunanagar,Kerala
CUST00021,Zara Sood,lsami@hotmail.com,29-01-2024,Rewa,Odisha
CUST00022,Mahika Suri,yuvraj-arora@yahoo.com,18-04-2024,Kamarhati,Sikkim
CUST00023,Anya Rege,taran53@keer.com,23-04-2024,Solapur,Telangana
CUST00024,Misha Seshadri,shlokbalakrishnan@gmail.com,19-03-2023,Bhatpara,Mizoram
CUST00025,Renee Baral,ayeshadasgupta@cherian.com,11-03-2024,Tiruvottiyur,Tripura
CUST00026,Stuvan Vohra,yashviganguly@hotmail.com,05-11-2024,Chittoor,Bihar
CUST00027,Amira Mall,tejas65@gmail.com,24-12-2025,Karaikudi,Maharashtra
CUST00028,Seher Kalla,shamik04@hotmail.com,23-06-2023,Durg,Gujarat
CUST00029,Yuvraj  Sankar,hridaanbala@guha.com,17-07-2025,Singrauli,Nagaland
CUST00030,Neelofar Zacharia,zeeshan38@gmail.com,05-05-2025,Shivpuri,Kerala
CUST00031,Yuvaan Sani,chandermahika@arya.net,09-08-2024,Bihar Sharif,Madhya Pradesh
CUST00032,Baiju Tripathi,rchad@lal.info,18-07-2025,Aligarh,Tamil Nadu
CUST00033,Parinaaz Bala,fatehben@yahoo.com,18-12-2024,Salem,Chhattisgarh
CUST00034,Rania Choudhary,myra26@soman-baria.net,17-10-2025,Ajmer,Assam
CUST00035,Piya Hayre,lakshit84@yahoo.com,04-09-2025,Gopalpur,Nagaland
CUST00036,Kartik Ravi,vohrabhamini@hotmail.com,27-05-2025,Sagar,Madhya Pradesh
CUST00037,Amani Bhatia,ayesha57@hotmail.com,12-06-2025,Begusarai,Rajasthan
CUST00038,Hrishita Goda,kiara31@vora-arya.info,07-04-2025,Shahjahanpur,Telangana
CUST00039,Stuvan Mahajan,hirankarnik@mahal-rout.info,11-03-2024,Raipur,Odisha
CUST00040,Parinaaz Bhalla,uthkarshbose@yahoo.com,04-01-2024,Bareilly,Odisha
CUST00041,Raunak Karnik,purab46@ramakrishnan.com,28-05-2024,Khandwa,Mizoram
CUST00042,Vidur Dua,zain37@dubey-kohli.com,13-03-2025,Sagar,Sikkim
CUST00043,Keya Joshi,samar18@gmail.com,24-02-2025,Pondicherry,Mizoram
CUST00044,Eva Upadhyay,deoaniruddh@gmail.com,12-02-2024,Jamnagar,Maharashtra
CUST00045,Hazel Sodhi,riaan92@gmail.com,28-11-2024,New Delhi,Uttar Pradesh
CUST00046,Vihaan Bhatt,rayjivin@varma-bobal.biz,28-09-2025,Bhavnagar,Nagaland
CUST00047,Aradhya Bumb,cvarty@varghese-baria.com,04-11-2023,Bhiwani,Mizoram
CUST00048,Aarna Verma,emir05@gmail.com,06-03-2023,Dehri,Manipur
CUST00049,Dhanush Dhawan,uthkarshsengupta@konda.com,29-07-2023,Jabalpur,Uttar Pradesh
CUST00050,Anvi Sule,vbalan@vora.org,17-12-2024,Junagadh,Haryana
CUST00051,Riaan Soman,ramsumer@gmail.com,03-03-2025,Khandwa,Nagaland
CUST00052,Dharmajan Saha,xsarraf@yahoo.com,22-10-2023,Salem,Manipur
CUST00053,Aradhya Gulati,rsunder@yahoo.com,14-02-2025,Ulhasnagar,Kerala
CUST00054,Saanvi Apte,aarnabhat@hotmail.com,04-02-2024,Hajipur,Chhattisgarh
CUST00055,Priyansh Sankar,ehsaanbarad@yahoo.com,15-07-2025,Karaikudi,Karnataka
CUST00056,Piya Tailor,nakul50@gmail.com,06-10-2024,Serampore,Meghalaya
CUST00057,Aniruddh Bhargava,dharmajangill@yahoo.com,04-02-2024,Narasaraopet,Manipur
CUST00058,Parinaaz Kala,darveer@mall-dar.com,04-06-2024,Shimoga,Jharkhand
CUST00059,Jayesh Srivastava,guhaarhaan@hotmail.com,17-01-2023,Ujjain,Mizoram
CUST00060,Aaina Mani,senguptajivika@sule.com,03-08-2024,Baranagar,Chhattisgarh
CUST00061,Dhruv Sodhi,jayantkala@gmail.com,23-01-2025,Munger,Haryana
CUST00062,Ryan Dua,vanya11@dubey.com,25-10-2025,Chennai,Tamil Nadu
CUST00063,Shayak Talwar,trisha97@vyas.org,07-05-2025,Dewas,Bihar
CUST00064,Fateh Bumb,vtailor@tak-subramanian.com,19-10-2023,Tirupati,Maharashtra
CUST00065,Yashvi Barman,ira41@gmail.com,08-11-2024,Satna,Maharashtra
CUST00066,Indrans Kapur,lagandey@seth.info,11-08-2023,Pali,Haryana
CUST00067,Tejas Chhabra,uthkarshbala@yahoo.com,14-11-2023,Barasat,Kerala
CUST00068,Krish Sankaran,ranbirmajumdar@soni.com,28-10-2025,Kolkata,Karnataka
CUST00069,Hrishita Bava,ybal@yahoo.com,26-09-2024,Raiganj,Jharkhand
CUST00070,Samarth Dua,faiyaz52@badami-ahuja.com,30-10-2025,Anand,Arunachal Pradesh
CUST00071,Saksham Shan,kundagatik@kapadia.com,26-08-2024,Raiganj,Kerala
CUST00072,Prerak Datta,gdugal@hotmail.com,15-05-2024,Orai,Andhra Pradesh
CUST00073,Eshani Kothari,tiyavenkatesh@warrior.net,20-05-2024,Tirunelveli,Meghalaya
CUST00074,Ela Anand,alia54@ghosh.org,13-09-2023,Nellore,Uttar Pradesh
