customer_id,customer_name,city,state,signup_date
1,Dhanuk Sundaram,Ongole,Punjab,22-10-2021
2,Shayak Shetty,Guwahati,Maharashtra,19-09-2024
3,Jayesh Shankar,Noida,Karnataka,02-04-2025
4,Damini Dhawan,Nagercoil,Punjab,13-04-2024
5,Samiha Keer,Ambala,West Bengal,20-04-2023
6,Shlok Divan,Kamarhati,Delhi,15-12-2023
7,Shanaya Rana,Purnia,Uttar Pradesh,20-12-2025
8,Vihaan Verma,Madhyamgram,West Bengal,14-09-2021
9,Prerak Wali,Kirari Suleman Nagar,Rajasthan,25-01-2025
10,Ishita Banerjee,Dehri,Tamil Nadu,24-12-2022
11,Damini Kaul,Sambalpur,Kerala,16-08-2023
12,Kiara Ahluwalia,Vadodara,West Bengal,27-07-2021
13,Lakshit Saini,Nizamabad,Punjab,05-02-2023
14,Raunak Ahluwalia,Phusro,Kerala,02-07-2022
15,Hrishita Sodhi,Gandhinagar,Gujarat,06-12-2022
16,Bhamini Chatterjee,Asansol,Kerala,27-12-2024
17,Anaya Maharaj,Proddatur,Rajasthan,27-07-2023
18,Yashvi Balan,Etawah,Tamil Nadu,01-01-2022
19,Vaibhav Kumer,New Delhi,Delhi,29-08-2022
20,Eva Thakur,Ranchi,Punjab,05-10-2022
21,Biju Sood,Raebareli,Gujarat,02-02-2024
22,Devansh Mangal,Ajmer,Kerala,11-05-2023
23,Anvi Ramachandran,Surat,Rajasthan,08-12-2025
24,Farhan Rajagopalan,Mumbai,Gujarat,29-03-2021
25,Khushi Bhargava,Giridih,Punjab,08-03-2025
26,Rati Kota,Naihati,Gujarat,23-04-2025
27,Kaira Ravi,Aizawl,Uttar Pradesh,31-10-2023
28,Reyansh Salvi,Danapur,West Bengal,12-09-2023
29,Raghav Mall,Madhyamgram,West Bengal,02-07-2025
30,Shaan Sarin,Bhalswa Jahangir Pur,Karnataka,27-07-2023
31,Eshani Rege,Shimoga,Tamil Nadu,12-07-2024
32,Umang Lata,Thane,Tamil Nadu,01-01-2024
33,Miraya Chadha,Srikakulam,Gujarat,23-04-2021
34,Mahika Sandal,Tadipatri,Maharashtra,09-12-2024
35,Trisha Bakshi,Katihar,Uttar Pradesh,30-04-2024
36,Vivaan Ratti,Mirzapur,Punjab,09-04-2024
37,Nirvi Sandhu,Shimoga,West Bengal,20-03-2021
38,Aniruddh Gara,Aligarh,Karnataka,30-09-2024
39,Kismat Shanker,Naihati,Rajasthan,20-12-2021
40,Kartik Shankar,Amroha,Punjab,19-07-2022
41,Kiara Gara,Ambarnath,Rajasthan,11-11-2024
42,Akarsh Warrior,Jamshedpur,Tamil Nadu,26-01-2025
43,Manikya Goswami,Nangloi Jat,Uttar Pradesh,04-07-2022
44,Jayan Dave,Hajipur,West Bengal,28-03-2022
45,Prerak Biswas,Gurgaon,Karnataka,10-10-2023
46,Abram Ganguly,Vadodara,Gujarat,17-11-2025
47,Indrajit Chander,Nadiad,Uttar Pradesh,28-10-2022
48,Elakshi Ben,Amravati,Kerala,08-02-2025
49,Zoya Srinivas,Bangalore,West Bengal,17-11-2024
50,Taimur Sule,Aizawl,Delhi,07-07-2025
51,Parinaaz Vohra,Bettiah,Delhi,14-02-2024
52,Alia Malhotra,Dharmavaram,Karnataka,18-12-2025
53,Ryan Sani,Kishanganj,Rajasthan,18-11-2021
54,Parinaaz Ravi,Shimla,Uttar Pradesh,16-01-2022
55,Devansh Dua,Madanapalle,Uttar Pradesh,24-09-2021
56,Tara Mane,Katihar,Tamil Nadu,14-03-2022
57,Aayush Verma,Tezpur,West Bengal,18-11-2023
58,Tarini Dada,Vadodara,Kerala,16-04-2022
59,Nehmat Cherian,Ozhukarai,Tamil Nadu,19-07-2025
60,Piya Yadav,Junagadh,Karnataka,08-01-2025
61,Yashvi Sen,Khammam,Karnataka,21-03-2021
62,Nirvi Saxena,Jodhpur,Uttar Pradesh,04-03-2021
63,Yasmin Kadakia,Kolkata,Kerala,30-01-2022
64,Azad Brahmbhatt,Tadipatri,Karnataka,14-02-2023
65,Prerak Bhatnagar,Agra,Punjab,16-03-2023
66,Anya Banik,Ambarnath,Delhi,28-08-2025
67,Vedika Sen,Gudivada,West Bengal,17-10-2021
68,Shlok Amble,Ongole,Gujarat,16-05-2025
69,Vanya Solanki,Nashik,Delhi,08-08-2021
70,Rati Guha,Barasat,Uttar Pradesh,20-01-2022
71,Priyansh Korpal,Satara,West Bengal,07-10-2025
72,Zeeshan Kala,Bhind,West Bengal,22-09-2022
73,Saksham Raj,Saharanpur,Tamil Nadu,06-07-2023
74,Divij Borde,Thane,Uttar Pradesh,21-08-2021
75,Rohan Dewan,Phusro,Kerala,16-03-2025
76,Anya Sandal,Munger,Gujarat,02-08-2023
77,Vivaan Dhillon,Junagadh,Delhi,26-04-2024
78,Taran Lall,Bangalore,Uttar Pradesh,14-02-2024
79,Heer Kulkarni,Orai,Punjab,29-09-2025
80,Jayesh Kashyap,Karimnagar,West Bengal,19-10-2022
81,Umang Bajaj,Mau,Maharashtra,15-10-2025
82,Mehul Bajaj,Bathinda,Delhi,04-08-2022
83,Hrishita Raj,Ranchi,Karnataka,28-05-2025
84,Aarav Sidhu,Mangalore,Maharashtra,09-07-2025
85,Nirvaan Kalla,Karaikudi,Delhi,21-05-2025
86,Zain Biswas,Bongaigaon,Uttar Pradesh,19-11-2025
87,Rohan Dube,Haridwar,Uttar Pradesh,18-04-2024
88,Divij Kari,Varanasi,Kerala,23-02-2022
89,Hazel Andra,Chandigarh,Rajasthan,12-02-2023
90,Taran Badal,Medininagar,Kerala,02-02-2025
91,Madhav Sunder,Bidar,Tamil Nadu,06-10-2023
92,Misha Zacharia,Rampur,Tamil Nadu,26-05-2022
93,Emir Ramesh,Karaikudi,Uttar Pradesh,21-09-2021
94,Dharmajan Vaidya,Rajpur Sonarpur,Karnataka,10-01-2023
95,Taimur Sharma,Satara,Maharashtra,12-07-2025
96,Vedika Swamy,Bokaro,Karnataka,18-08-2021
97,Heer Bajwa,Muzaffarnagar,Karnataka,16-12-2021
98,Ira De,Tiruppur,Tamil Nadu,16-11-2025
99,Anay Yohannan,Nadiad,Rajasthan,20-10-2021
100,Raunak Basak,Shahjahanpur,Rajasthan,27-11-2022
101,Mehul Mallick,Pallavaram,Karnataka,17-02-2023
102,Taimur Chand,Katihar,Kerala,30-07-2025
103,Mamooty Randhawa,Patiala,Rajasthan,31-03-2023
104,Aarav Thaman,Ramagundam,Punjab,06-06-2022
105,Neysa Kala,Bangalore,West Bengal,23-04-2025
106,Azad Khurana,Gudivada,Delhi,11-12-2022
107,Tejas Upadhyay,Chittoor,West Bengal,30-10-2024
108,Yuvraj  Srinivas,Miryalaguda,Uttar Pradesh,18-01-2022
